3_2:423015531240014532302451245103150324;0;9;0.0519644;10.0003144;-1;2;3;-1;-1;5;-1;-1;-1;2;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;-1;-1;3;1;5;-1;-1;-1;-1;36
3_2:423015531240014532302451245103150324;0;10;0.011783;10.0003144;4;-1;3;-1;-1;5;-1;-1;-1;2;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;-1;-1;3;-1;5;0;3;-1;-1;36
3_2:423015531240014532302451245103150324;0;11;0.0068076000000000005;10.0003144;4;-1;3;-1;-1;5;-1;-1;-1;2;4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;1;5;0;3;-1;-1;36
3_2:423015531240014532302451245103150324;1;13;0.008999700000000001;10.000023800000001;-1;2;3;-1;-1;-1;-1;-1;-1;2;4;0;-1;1;4;-1;-1;-1;-1;-1;-1;4;5;-1;2;-1;-1;-1;-1;3;1;-1;-1;-1;-1;4;36
3_2:145230230415053124412053301542524301;0;9;0.060226;10.0001767;1;-1;5;-1;3;-1;2;-1;-1;-1;-1;5;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;2;-1;-1;4;-1;-1;-1;36
3_2:145230230415053124412053301542524301;0;10;0.0159546;10.0001767;1;-1;5;-1;3;0;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;2;-1;-1;4;-1;0;-1;36
3_2:145230230415053124412053301542524301;0;11;0.0063195000000000005;10.0001767;1;-1;5;-1;3;0;2;-1;0;-1;-1;5;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;5;-1;-1;-1;0;-1;36
3_2:145230230415053124412053301542524301;1;19;8.9281637;10.0020513;1;4;-1;-1;3;-1;2;-1;0;4;1;-1;-1;5;-1;-1;2;4;4;1;-1;-1;-1;3;-1;-1;1;5;-1;2;-1;2;4;3;-1;-1;36
3_2:145230230415053124412053301542524301;1;20;4.3949818;10.0020513;1;4;-1;-1;3;-1;2;-1;0;4;1;-1;-1;5;-1;-1;2;4;4;1;2;-1;-1;3;-1;-1;1;5;-1;2;-1;2;4;3;-1;-1;36
3_2:145230230415053124412053301542524301;1;21;1.9974295000000002;10.0020513;1;4;-1;-1;3;-1;2;-1;0;4;1;-1;-1;5;-1;1;2;4;4;1;2;-1;-1;3;-1;-1;1;5;-1;2;-1;2;4;3;-1;-1;36
3_2:145230230415053124412053301542524301;1;22;0.392349;10.0020513;1;4;-1;-1;3;-1;2;-1;-1;4;1;5;-1;5;-1;1;2;4;4;1;2;-1;-1;3;3;-1;1;5;-1;2;-1;2;4;3;-1;-1;36
3_2:145230230415053124412053301542524301;1;23;0.17108120000000002;10.0020513;1;4;-1;-1;3;-1;2;-1;-1;4;1;5;-1;5;-1;1;2;4;4;1;2;-1;-1;3;3;-1;1;5;4;2;-1;2;4;3;-1;-1;36
3_2:145230230415053124412053301542524301;1;24;0.077614;10.0020513;1;4;5;-1;3;-1;2;-1;-1;4;1;5;-1;5;-1;1;2;4;4;1;2;-1;-1;3;3;-1;1;5;4;2;-1;2;4;3;-1;-1;36
3_2:145230230415053124412053301542524301;1;25;0.0085792;10.0020513;1;4;5;-1;3;-1;2;3;-1;4;1;5;-1;5;-1;1;2;4;4;1;2;-1;-1;3;-1;-1;1;5;4;2;5;2;4;3;-1;-1;36
3_2:510432031245425310203154154023342501;0;9;0.1503269;10.0001204;5;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;4;-1;-1;3;-1;-1;2;-1;0;-1;36
3_2:510432031245425310203154154023342501;0;10;0.0062183;10.0001204;5;-1;-1;4;3;-1;-1;3;1;-1;-1;5;-1;-1;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;4;-1;-1;0;-1;36
3_2:510432031245425310203154154023342501;1;20;2.2290025;10.0005548;5;-1;-1;4;3;2;0;3;1;-1;4;-1;-1;-1;-1;3;1;0;2;0;3;-1;-1;-1;-1;-1;-1;0;2;3;3;4;2;-1;-1;-1;36
3_2:510432031245425310203154154023342501;1;21;0.0080782;10.0005548;-1;-1;-1;4;3;2;0;3;1;-1;4;-1;-1;-1;-1;3;1;0;2;0;3;-1;-1;-1;1;-1;-1;0;2;3;3;4;2;5;-1;-1;36
3_2:124053532104403512251340045231310425;0;8;1.1099089;10.0002121;-1;-1;-1;-1;-1;-1;-1;3;-1;1;-1;-1;-1;0;-1;-1;-1;2;2;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;1;-1;-1;0;-1;-1;-1;36
3_2:124053532104403512251340045231310425;0;9;0.0063769000000000004;10.0002121;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;4;-1;0;3;5;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;0;-1;-1;5;36
3_2:124053532104403512251340045231310425;1;14;0.008639800000000001;10.0004294;-1;-1;-1;0;5;3;-1;3;2;-1;-1;-1;4;-1;3;-1;-1;-1;-1;-1;-1;3;4;-1;0;4;5;-1;-1;-1;-1;-1;-1;4;-1;5;36
3_2:231540102435543012054321310254425103;0;9;0.09588690000000001;10.000060900000001;-1;3;-1;-1;-1;-1;-1;-1;2;-1;3;-1;-1;-1;-1;0;-1;-1;-1;5;-1;-1;2;-1;-1;-1;-1;-1;5;4;-1;-1;-1;1;-1;-1;36
3_2:231540102435543012054321310254425103;0;10;0.0070090000000000005;10.000060900000001;-1;3;-1;-1;-1;-1;-1;-1;2;-1;3;-1;-1;-1;-1;0;1;-1;-1;5;-1;-1;-1;-1;-1;1;-1;-1;5;4;-1;-1;-1;1;-1;-1;36
3_2:231540102435543012054321310254425103;1;19;8.4266637;10.000721200000001;2;-1;-1;-1;4;0;1;-1;2;-1;-1;5;-1;-1;-1;0;1;2;0;5;4;-1;-1;-1;-1;-1;-1;2;5;4;4;2;5;1;-1;-1;36
3_2:231540102435543012054321310254425103;1;20;1.9280394;10.000721200000001;2;-1;-1;-1;4;0;1;0;2;-1;-1;5;-1;-1;-1;0;1;2;0;5;4;-1;-1;-1;-1;-1;-1;2;5;4;4;2;5;1;-1;-1;36
3_2:231540102435543012054321310254425103;1;21;1.8584115;10.000721200000001;2;-1;-1;5;4;0;1;0;2;-1;-1;5;-1;-1;-1;0;1;2;0;5;4;-1;-1;-1;-1;-1;-1;2;5;4;4;2;5;1;-1;-1;36
